"ds","y"
"1871-01-07","1"
"1871-01-07","1"
"1871-01-07","1"
"1871-01-07","1"
"1871-01-07","1"
"1871-01-14","2"
"1871-01-14","2"
"1871-01-14","1"
"1871-01-14","2"
"1871-01-14","2"
"1871-01-21","3"
"1871-01-21","3"
"1871-01-21","1"
"1871-01-21","3"
"1871-01-21","3"
"1871-01-28","4"
"1871-01-28","4"
"1871-01-28","4"
"1871-01-28","4"
"1871-01-28","4"
"1871-02-04","5"
"1871-02-04","5"
"1871-02-04","5"
"1871-02-04","5"
"1871-02-04","5"
"1871-02-11","4"
"1871-02-11","6"
"1871-02-11","6"
"1871-02-11","6"
"1871-02-11","6"
"1871-02-18","7"
"1871-02-18","4"
"1871-02-18","5"
"1871-02-18","7"
"1871-02-18","7"
"1871-02-25","2"
"1871-02-25","8"
"1871-02-25","8"
"1871-02-25","8"
"1871-02-25","2"
"1871-03-04","9"
"1871-03-04","9"
"1871-03-04","9"
"1871-03-04","9"
"1871-03-04","4"
"1871-03-11","10"
"1871-03-11","10"
"1871-03-11","10"
"1871-03-11","2"
"1871-03-11","6"
"1871-03-18","11"
"1871-03-18","9"
"1871-03-18","11"
"1871-03-18","9"
"1871-03-18","11"
"1871-03-25","12"
"1871-03-25","12"
"1871-03-25","12"
"1871-03-25","2"
"1871-03-25","12"
"1871-04-01","13"
"1871-04-01","10"
"1871-04-01","12"
"1871-04-01","13"
"1871-04-01","13"
"1871-04-08","14"
"1871-04-08","8"
"1871-04-08","14"
"1871-04-08","5"
"1871-04-08","14"
"1871-04-15","15"
"1871-04-15","15"
"1871-04-15","10"
"1871-04-15","15"
"1871-04-15","12"
"1871-04-22","16"
"1871-04-22","11"
"1871-04-22","16"
"1871-04-22","1"
"1871-04-22","2"
"1871-04-29","6"
"1871-04-29","5"
"1871-04-29","4"
"1871-04-29","17"
"1871-04-29","8"
"1871-05-06","11"
"1871-05-06","4"
"1871-05-06","18"
"1871-05-06","18"
"1871-05-06","2"
"1871-05-13","13"
"1871-05-13","4"
"1871-05-13","16"
"1871-05-13","3"
"1871-05-13","6"
"1871-05-20","12"
"1871-05-20","20"
"1871-05-20","2"
"1871-05-20","20"
"1871-05-20","20"
"1871-05-27","3"
"1871-05-27","4"
"1871-05-27","7"
"1871-05-27","14"
"1871-05-27","21"
"1871-06-03","22"
"1871-06-03","3"
"1871-06-03","18"
"1871-06-03","5"
"1871-06-03","6"
"1871-06-10","23"
"1871-06-10","6"
"1871-06-10","12"
"1871-06-10","1"
"1871-06-10","23"
"1871-06-17","23"
"1871-06-17","3"
"1871-06-17","15"
"1871-06-17","15"
"1871-06-17","13"
"1871-06-24","8"
"1871-06-24","12"
"1871-06-24","25"
"1871-06-24","25"
"1871-06-24","7"
"1871-07-01","15"
"1871-07-01","22"
"1871-07-01","2"
"1871-07-01","26"
"1871-07-01","8"
"1871-07-08","7"
"1871-07-08","20"
"1871-07-08","15"
"1871-07-08","13"
"1871-07-08","15"
"1871-07-15","9"
"1871-07-15","28"
"1871-07-15","5"
"1871-07-15","28"
"1871-07-15","28"
"1871-07-22","21"
"1871-07-22","14"
"1871-07-22","10"
"1871-07-22","29"
"1871-07-22","9"
"1871-07-29","25"
"1871-07-29","19"
"1871-07-29","15"
"1871-07-29","20"
"1871-07-29","20"
"1871-08-05","8"
"1871-08-05","9"
"1871-08-05","21"
"1871-08-05","8"
"1871-08-05","18"
"1871-08-12","32"
"1871-08-12","32"
"1871-08-12","32"
"1871-08-12","32"
"1871-08-12","6"
"1871-08-19","5"
"1871-08-19","6"
"1871-08-19","33"
"1871-08-19","33"
"1871-08-19","14"
"1871-08-26","5"
"1871-08-26","20"
"1871-08-26","8"
"1871-08-26","34"
"1871-08-26","28"
"1871-09-02","31"
"1871-09-02","3"
"1871-09-02","2"
"1871-09-02","11"
"1871-09-02","35"
"1871-09-09","4"
"1871-09-09","1"
"1871-09-09","11"
"1871-09-09","4"
"1871-09-09","11"
"1871-09-16","8"
"1871-09-16","17"
"1871-09-16","37"
"1871-09-16","10"
"1871-09-16","37"
"1871-09-23","12"
"1871-09-23","38"
"1871-09-23","1"
"1871-09-23","14"
"1871-09-23","17"
"1871-09-30","5"
"1871-09-30","9"
"1871-09-30","11"
"1871-09-30","1"
"1871-09-30","8"
"1871-10-07","5"
"1871-10-07","2"
"1871-10-07","12"
"1871-10-07","6"
"1871-10-07","20"
"1871-10-14","25"
"1871-10-14","6"
"1871-10-14","41"
"1871-10-14","4"
"1871-10-14","11"
"1871-10-21","15"
"1871-10-21","17"
"1871-10-21","35"
"1871-10-21","3"
"1871-10-21","4"
"1871-10-28","24"
"1871-10-28","14"
"1871-10-28","1"
"1871-10-28","35"
"1871-10-28","3"
"1871-11-04","10"
"1871-11-04","7"
"1871-11-04","39"
"1871-11-04","2"
"1871-11-04","20"
"1871-11-11","33"
"1871-11-11","1"
"1871-11-11","37"
"1871-11-11","12"
"1871-11-11","16"
"1871-11-18","3"
"1871-11-18","20"
"1871-11-18","7"
"1871-11-18","24"
"1871-11-18","29"
"1871-11-25","3"
"1871-11-25","10"
"1871-11-25","7"
"1871-11-25","13"
"1871-11-25","47"
"1871-12-02","15"
"1871-12-02","19"
"1871-12-02","13"
"1871-12-02","41"
"1871-12-02","1"
"1871-12-09","6"
"1871-12-09","45"
"1871-12-09","5"
"1871-12-09","15"
"1871-12-09","8"
"1871-12-16","40"
"1871-12-16","18"
"1871-12-16","5"
"1871-12-16","25"
"1871-12-16","14"
"1871-12-23","28"
"1871-12-23","30"
"1871-12-23","10"
"1871-12-23","15"
"1871-12-23","2"
"1871-12-30","12"
"1871-12-30","37"
"1871-12-30","7"
"1871-12-30","1"
"1871-12-30","21"
"1872-01-06","7"
"1872-01-06","8"
"1872-01-06","3"
"1872-01-06","35"
"1872-01-06","2"
"1872-01-13","3"
"1872-01-13","5"
"1872-01-13","5"
"1872-01-13","8"
"1872-01-13","14"
"1872-01-20","46"
"1872-01-20","2"
"1872-01-20","3"
"1872-01-20","24"
"1872-01-20","9"
"1872-01-27","2"
"1872-01-27","8"
"1872-01-27","2"
"1872-01-27","7"
"1872-01-27","20"
"1872-02-03","25"
"1872-02-03","56"
"1872-02-03","9"
"1872-02-03","1"
"1872-02-03","37"
"1872-02-10","7"
"1872-02-10","28"
"1872-02-10","5"
"1872-02-10","15"
"1872-02-10","36"
"1872-02-17","9"
"1872-02-17","2"
"1872-02-17","38"
"1872-02-17","16"
"1872-02-17","31"
"1872-02-24","5"
"1872-02-24","1"
"1872-02-24","16"
"1872-02-24","47"
"1872-02-24","18"
"1872-03-02","6"
"1872-03-02","7"
"1872-03-02","30"
"1872-03-02","12"
"1872-03-02","22"
"1872-03-09","23"
"1872-03-09","38"
"1872-03-09","4"
"1872-03-09","8"
"1872-03-09","15"
"1872-03-16","27"
"1872-03-16","8"
"1872-03-16","35"
"1872-03-16","3"
"1872-03-16","11"
"1872-03-23","17"
"1872-03-23","52"
"1872-03-23","14"
"1872-03-23","17"
"1872-03-23","9"
"1872-03-30","1"
"1872-03-30","9"
"1872-03-30","10"
"1872-03-30","12"
"1872-03-30","65"
"1872-04-06","9"
"1872-04-06","25"
"1872-04-06","8"
"1872-04-06","1"
"1872-04-06","16"
"1872-04-13","64"
"1872-04-13","26"
"1872-04-13","29"
"1872-04-13","29"
"1872-04-13","17"
"1872-04-20","5"
"1872-04-20","8"
"1872-04-20","23"
"1872-04-20","45"
"1872-04-20","22"
"1872-04-27","8"
"1872-04-27","2"
"1872-04-27","9"
"1872-04-27","43"
"1872-04-27","48"
"1872-05-04","37"
"1872-05-04","1"
"1872-05-04","34"
"1872-05-04","1"
"1872-05-04","14"
"1872-05-11","20"
"1872-05-11","55"
"1872-05-11","2"
"1872-05-11","23"
"1872-05-11","6"
"1872-05-18","9"
"1872-05-18","5"
"1872-05-18","35"
"1872-05-18","8"
"1872-05-18","5"
"1872-05-25","15"
"1872-05-25","12"
"1872-05-25","1"
"1872-05-25","14"
"1872-05-25","6"
"1872-06-01","20"
"1872-06-01","11"
"1872-06-01","14"
"1872-06-01","28"
"1872-06-01","22"
"1872-06-08","10"
"1872-06-08","4"
"1872-06-08","9"
"1872-06-08","1"
"1872-06-08","2"
"1872-06-15","2"
"1872-06-15","49"
"1872-06-15","3"
"1872-06-15","15"
"1872-06-15","18"
"1872-06-22","7"
"1872-06-22","4"
"1872-06-22","13"
"1872-06-22","9"
"1872-06-22","35"
"1872-07-01","1"
"1872-07-01","8"
"1872-07-01","78"
"1872-07-01","17"
"1872-07-01","8"
"1872-07-06","31"
"1872-07-06","23"
"1872-07-06","19"
"1872-07-06","20"
"1872-07-06","4"
"1872-07-13","53"
"1872-07-13","49"
"1872-07-13","4"
"1872-07-13","18"
"1872-07-13","4"
"1872-07-20","17"
"1872-07-20","42"
"1872-07-20","19"
"1872-07-20","13"
"1872-07-20","80"
"1872-07-27","34"
"1872-07-27","25"
"1872-07-27","3"
"1872-07-27","12"
"1872-07-27","16"
"1872-08-03","18"
"1872-08-03","5"
"1872-08-03","2"
"1872-08-03","38"
"1872-08-03","2"
"1872-08-10","37"
"1872-08-10","10"
"1872-08-10","4"
"1872-08-10","19"
"1872-08-10","3"
"1872-08-17","60"
"1872-08-17","13"
"1872-08-17","14"
"1872-08-17","4"
"1872-08-17","8"
"1872-08-24","45"
"1872-08-24","9"
"1872-08-24","9"
"1872-08-24","17"
"1872-08-24","6"
"1872-08-31","4"
"1872-08-31","16"
"1872-08-31","3"
"1872-08-31","23"
"1872-08-31","28"
"1872-09-07","8"
"1872-09-07","9"
"1872-09-07","20"
"1872-09-07","9"
"1872-09-07","36"
"1872-09-14","10"
"1872-09-14","56"
"1872-09-14","7"
"1872-09-14","67"
"1872-09-14","33"
"1872-09-21","8"
"1872-09-21","1"
"1872-09-21","15"
"1872-09-21","5"
"1872-09-21","5"
"1872-09-28","13"
"1872-09-28","38"
"1872-09-28","7"
"1872-09-28","22"
"1872-09-28","38"
"1872-10-05","1"
"1872-10-05","21"
"1872-10-05","48"
"1872-10-05","1"
"1872-10-05","3"
"1872-10-12","11"
"1872-10-12","31"
"1872-10-12","6"
"1872-10-12","35"
"1872-10-12","21"
"1872-10-19","8"
"1872-10-19","24"
"1872-10-19","7"
"1872-10-19","2"
"1872-10-19","2"
"1872-10-26","11"
"1872-10-26","7"
"1872-10-26","9"
"1872-10-26","8"
"1872-10-26","6"
"1872-11-02","10"
"1872-11-02","4"
"1872-11-02","1"
"1872-11-02","37"
"1872-11-02","33"
"1872-11-09","4"
"1872-11-09","24"
"1872-11-09","57"
"1872-11-09","22"
"1872-11-09","22"
"1872-11-16","13"
"1872-11-16","5"
"1872-11-16","7"
"1872-11-16","2"
"1872-11-16","7"
"1872-11-23","20"
"1872-11-23","12"
"1872-11-23","25"
"1872-11-23","16"
"1872-11-23","33"
"1872-11-30","3"
"1872-11-30","13"
"1872-11-30","12"
"1872-11-30","8"
"1872-11-30","28"
"1872-12-07","3"
"1872-12-07","21"
"1872-12-07","19"
"1872-12-07","28"
"1872-12-07","12"
"1872-12-14","22"
"1872-12-14","4"
"1872-12-14","20"
"1872-12-14","24"
"1872-12-14","18"
"1872-12-21","3"
"1872-12-21","13"
"1872-12-21","10"
"1872-12-21","4"
"1872-12-21","13"
"1872-12-28","6"
"1872-12-28","20"
"1872-12-28","36"
"1872-12-28","9"
"1872-12-28","42"
"1873-01-04","11"
"1873-01-04","3"
"1873-01-04","48"
"1873-01-04","75"
"1873-01-04","4"
"1873-01-11","2"
"1873-01-11","40"
"1873-01-11","28"
"1873-01-11","43"
"1873-01-11","30"
"1873-01-18","22"
"1873-01-18","36"
"1873-01-18","24"
"1873-01-18","26"
"1873-01-18","35"
"1873-01-25","6"
"1873-01-25","2"
"1873-01-25","7"
"1873-01-25","15"
"1873-01-25","5"
"1873-02-01","8"
"1873-02-01","14"
"1873-02-01","10"
"1873-02-01","3"
"1873-02-01","21"
"1873-02-08","48"
"1873-02-08","6"
"1873-02-08","6"
"1873-02-08","3"
"1873-02-08","1"
"1873-02-15","81"
"1873-02-15","12"
"1873-02-15","1"
"1873-02-15","11"
"1873-02-15","3"
"1873-02-22","2"
"1873-02-22","3"
"1873-02-22","51"
"1873-02-22","2"
"1873-02-22","1"
"1873-03-01","6"
"1873-03-01","15"
"1873-03-01","8"
"1873-03-01","27"
"1873-03-01","6"
"1873-03-08","17"
"1873-03-08","15"
"1873-03-08","4"
"1873-03-08","46"
"1873-03-08","9"
"1873-03-15","1"
"1873-03-15","72"
"1873-03-15","1"
"1873-03-15","8"
"1873-03-15","4"
"1873-03-22","3"
"1873-03-22","1"
"1873-03-22","12"
"1873-03-22","14"
"1873-03-22","16"
"1873-03-29","21"
"1873-03-29","14"
"1873-03-29","23"
"1873-03-29","5"
"1873-03-29","12"
"1873-04-05","23"
"1873-04-05","28"
"1873-04-05","10"
"1873-04-05","3"
"1873-04-05","22"
"1873-04-12","22"
"1873-04-12","34"
"1873-04-12","53"
"1873-04-12","29"
"1873-04-12","31"
"1873-04-19","10"
"1873-04-19","13"
"1873-04-19","6"
"1873-04-19","24"
"1873-04-19","26"
"1873-04-26","17"
"1873-04-26","32"
"1873-04-26","19"
"1873-04-26","26"
"1873-04-26","35"
"1873-05-03","16"
"1873-05-03","87"
"1873-05-03","19"
"1873-05-03","3"
"1873-05-03","29"
"1873-05-10","4"
"1873-05-10","35"
"1873-05-10","11"
"1873-05-10","12"
"1873-05-10","2"
"1873-05-17","19"
"1873-05-17","15"
"1873-05-17","19"
"1873-05-17","15"
"1873-05-17","8"
"1873-05-24","17"
"1873-05-24","19"
"1873-05-24","8"
"1873-05-24","2"
"1873-05-24","3"
"1873-05-31","4"
"1873-05-31","7"
"1873-05-31","6"
"1873-05-31","27"
"1873-05-31","6"
"1873-06-07","29"
"1873-06-07","21"
"1873-06-07","70"
"1873-06-07","3"
"1873-06-07","3"
"1873-06-14","76"
"1873-06-14","16"
"1873-06-14","5"
"1873-06-14","5"
"1873-06-14","51"
"1873-06-21","38"
"1873-06-21","15"
"1873-06-21","7"
"1873-06-21","32"
"1873-06-21","12"
"1873-06-28","33"
"1873-06-28","15"
"1873-06-28","14"
"1873-06-28","54"
"1873-06-28","21"
"1873-07-05","3"
"1873-07-05","19"
"1873-07-05","14"
"1873-07-05","37"
"1873-07-05","18"
"1873-07-12","16"
"1873-07-12","7"
"1873-07-12","5"
"1873-07-12","15"
"1873-07-12","1"
"1873-07-19","14"
"1873-07-19","18"
"1873-07-19","50"
"1873-07-19","12"
"1873-07-19","15"
"1873-07-26","1"
"1873-07-26","5"
"1873-07-26","21"
"1873-07-26","1"
"1873-07-26","8"
"1873-08-02","32"
"1873-08-02","18"
"1873-08-02","14"
"1873-08-02","11"
"1873-08-02","5"
"1873-08-09","2"
"1873-08-09","1"
"1873-08-09","20"
"1873-08-09","44"
"1873-08-09","11"
"1873-08-16","4"
"1873-08-16","10"
"1873-08-16","16"
"1873-08-16","7"
"1873-08-16","19"
"1873-08-23","62"
"1873-08-23","1"
"1873-08-23","38"
"1873-08-23","8"
"1873-08-23","64"
"1873-08-30","13"
"1873-08-30","1"
"1873-08-30","36"
"1873-08-30","1"
"1873-08-30","56"
"1873-09-06","3"
"1873-09-06","4"
"1873-09-06","11"
"1873-09-06","1"
"1873-09-06","98"
"1873-09-13","33"
"1873-09-13","19"
"1873-09-13","7"
"1873-09-13","16"
"1873-09-13","27"
"1873-09-20","10"
"1873-09-20","1"
"1873-09-20","67"
"1873-09-20","19"
"1873-09-20","13"
"1873-09-27","7"
"1873-09-27","9"
"1873-09-27","21"
"1873-09-27","7"
"1873-09-27","4"
"1873-10-04","15"
"1873-10-04","5"
"1873-10-04","24"
"1873-10-04","14"
"1873-10-04","2"
"1873-10-11","2"
"1873-10-11","78"
"1873-10-11","14"
"1873-10-11","30"
"1873-10-11","10"
"1873-10-18","1"
"1873-10-18","1"
"1873-10-18","38"
"1873-10-18","1"
"1873-10-18","10"
"1873-10-25","1"
"1873-10-25","20"
"1873-10-25","3"
"1873-10-25","4"
"1873-10-25","10"
"1873-11-01","8"
"1873-11-01","27"
"1873-11-01","35"
"1873-11-01","11"
"1873-11-01","6"
"1873-11-08","8"
"1873-11-08","55"
"1873-11-08","2"
"1873-11-08","6"
"1873-11-08","1"
"1873-11-15","8"
"1873-11-15","4"
"1873-11-15","48"
"1873-11-15","3"
"1873-11-15","23"
"1873-11-22","3"
"1873-11-22","2"
"1873-11-22","50"
"1873-11-22","1"
"1873-11-22","33"
"1873-11-29","56"
"1873-11-29","24"
"1873-11-29","19"
"1873-11-29","25"
"1873-11-29","1"
"1873-12-06","28"
"1873-12-06","22"
"1873-12-06","13"
"1873-12-06","12"
"1873-12-06","27"
"1873-12-13","16"
"1873-12-13","4"
"1873-12-13","16"
"1873-12-13","12"
"1873-12-13","2"
"1873-12-20","30"
"1873-12-20","36"
"1873-12-20","26"
"1873-12-20","77"
"1873-12-20","8"
"1873-12-27","3"
"1873-12-27","24"
"1873-12-27","9"
"1873-12-27","45"
"1873-12-27","36"
"1874-01-03","17"
"1874-01-03","14"
"1874-01-03","18"
"1874-01-03","6"
"1874-01-03","5"
"1874-01-10","9"
"1874-01-10","2"
"1874-01-10","24"
"1874-01-10","4"
"1874-01-10","16"
"1874-01-17","31"
"1874-01-17","1"
"1874-01-17","6"
"1874-01-17","1"
"1874-01-17","14"
"1874-01-24","11"
"1874-01-24","4"
"1874-01-24","22"
"1874-01-24","6"
"1874-01-24","44"
"1874-01-31","24"
"1874-01-31","33"
"1874-01-31","10"
"1874-01-31","14"
"1874-01-31","1"
"1874-02-07","6"
"1874-02-07","31"
"1874-02-07","3"
"1874-02-07","7"
"1874-02-07","4"
"1874-02-14","10"
"1874-02-14","15"
"1874-02-14","30"
"1874-02-14","31"
"1874-02-14","1"
"1874-02-21","8"
"1874-02-21","40"
"1874-02-21","18"
"1874-02-21","15"
"1874-02-21","52"
"1874-02-28","3"
"1874-02-28","4"
"1874-02-28","1"
"1874-02-28","5"
"1874-02-28","1"
"1874-03-07","4"
"1874-03-07","55"
"1874-03-07","16"
"1874-03-07","9"
"1874-03-07","14"
"1874-03-14","12"
"1874-03-14","10"
